Episode,Average Reward
1,-0.003726562500000002
2,-0.004070312499999998
3,-0.004843750000000002
4,-0.0034062500000000017
5,-0.004441406250000001
6,-0.004976562500000002
7,-0.005246093749999985
8,-0.0037343750000000003
9,-0.0037499999999999994
10,-0.004656250000000002
11,-0.004769531250000002
12,-0.003216796875
13,-0.004593749999999992
14,-0.004371093749999993
15,-0.002386718750000001
16,-0.003640625000000001
17,-0.0019375000000000015
18,-0.0029375000000000004
19,-0.0020859375000000006
20,-0.003492187500000001
21,-0.0015781250000000012
22,-0.002603515625000002
23,-0.0019140625000000015
24,-0.0005312500000000004
25,-0.0011464843750000008
26,-0.0019609375000000013
27,-0.0021210937500000006
28,-0.0017148437500000013
29,-0.0011953125000000008
30,-0.0010585937500000007
31,-0.0008574218750000007
32,-0.0008730468750000007
33,-0.0010878906250000007
34,-0.0005898437500000004
35,-0.00042773437500000027
36,-0.0008203125000000006
37,-0.0005917968750000004
38,-0.0010429687500000007
39,-0.0002949218750000002
40,-0.0003593750000000002
41,-0.0005546875000000004
42,-0.00033789062500000025
43,-0.0002949218750000002
44,-0.0006503906250000005
45,-0.0003925781250000002
46,-0.0004101562500000003
47,-0.0006269531250000004
48,-0.0005878906250000004
49,-0.001414062500000001
50,-0.0005566406250000004
51,-0.0007070312500000005
52,-0.0005136718750000003
53,-0.0003437500000000002
54,-0.0008750000000000007
55,-0.0010546875000000007
56,-0.0006367187500000005
57,-0.0003359375000000002
58,-0.0002949218750000002
59,-0.00023828125000000016
60,-0.00027148437500000013
61,-0.0004296875000000003
62,-0.0019628906250000002
63,-0.0010019531250000007
64,-0.0006289062500000005
65,-0.0019980468750000016
66,-0.0008515625000000006
67,-0.0004921875000000003
68,-0.00029101562500000015
69,-0.00011718750000000008
70,-0.0019082031250000015
71,-0.001308593750000001
72,-0.00039843750000000025
73,-0.0011152343750000008
74,-0.0005625000000000004
75,-0.0002871093750000002
76,-0.0004140625000000003
77,-0.0005273437500000004
78,-0.0012324218750000009
79,-0.0006367187500000005
80,-0.0007968750000000006
81,-0.0015234375000000011
82,-0.00038867187500000024
83,-0.00021289062500000016
84,-0.0004492187500000003
85,-0.0002324218750000001
86,-0.00018164062500000013
87,-0.0004707031250000003
88,-0.0009550781250000007
89,-0.0010175781250000007
90,-0.0006679687500000005
91,-0.00029101562500000015
92,-0.0010214843750000007
93,-0.0008164062500000006
94,-0.0005644531250000004
95,-0.0003710937500000002
96,-0.0003222656250000002
97,-0.0003593750000000002
98,-0.0005312500000000004
99,-0.0002968750000000002
100,-0.00041796875000000026
