Episode,Average Reward
1,-0.003099609374999998
2,-0.0034374999999999965
3,-0.003058593749999999
4,-0.004033203124999999
5,-0.0033378906249999984
6,-0.0028593750000000004
7,-0.003677734374999991
8,-0.0028554687499999956
9,-0.0029355468749999976
10,-0.0034980468749999955
11,-0.0037304687499999955
12,-0.0019609375000000013
13,-0.0032910156249999992
14,-0.0036249999999999993
15,-0.003999999999999992
16,-0.003302734374999997
17,-0.0031992187499999946
18,-0.0032265625000000007
19,-0.0035839843749999973
20,-0.004015624999999996
21,-0.0029140624999999987
22,-0.003021484374999998
23,-0.0028789062499999995
24,-0.0031796875
25,-0.00298828125
26,-0.0030546874999999997
27,-0.0028496093749999975
28,-0.002115234375000001
29,-0.0032148437499999985
30,-0.0033691406250000006
31,-0.0034296874999999996
32,-0.003568359374999996
33,-0.0029355468750000002
34,-0.0031484374999999985
35,-0.0029374999999999996
36,-0.0031445312500000006
37,-0.0032929687499999977
38,-0.002935546874999999
39,-0.0031464843749999982
40,-0.003101562499999997
41,-0.003035156249999997
42,-0.0027207031249999953
43,-0.0030566406249999973
44,-0.003470703124999994
45,-0.0029589843749999963
46,-0.003128906249999996
47,-0.0011152343750000008
48,-0.0031308593749999965
49,-0.003671874999999996
50,-0.0037714843749999923
51,-0.003468749999999998
52,-0.0033105468749999936
53,-0.003076171874999998
54,-0.0029999999999999957
55,-0.004015624999999994
56,-0.0034355468749999968
57,-0.0031328124999999963
58,-0.003099609374999996
59,-0.0029238281249999998
60,-0.002949218749999997
61,-0.0029511718749999955
62,-0.005562499999999984
63,-0.002935546874999998
64,-0.0038378906249999976
65,-0.004871093749999991
66,-0.0029042968749999976
67,-0.0029863281249999946
68,-0.002703124999999995
69,-0.002898437499999999
70,-0.003812499999999996
71,-0.003476562499999998
72,-0.002966796874999999
73,-0.0036386718749999956
74,-0.0030703124999999984
75,-0.003072265624999996
76,-0.0030527343749999964
77,-0.0032285156249999966
78,-0.0030390624999999966
79,-0.003103515624999994
80,-0.003105468749999996
81,-0.0032558593749999936
82,-0.0030214843749999977
83,-0.0030742187499999962
84,-0.0030605468749999934
85,-0.003093749999999995
86,-0.003064453124999994
87,-0.0032812499999999964
88,-0.003382812499999996
89,-0.0032499999999999955
90,-0.003074218749999996
91,-0.0031484374999999915
92,-0.003148437499999994
93,-0.0031660156249999957
94,-0.0030214843749999934
95,-0.003136718749999995
96,-0.002992187499999998
97,-0.0030605468749999964
98,-0.0028378906249999967
99,-0.0029707031249999977
100,-0.0031699218749999952
