Episode,Average Reward
1,-0.003099609374999998
2,-0.0034296874999999965
3,-0.003058593749999999
4,-0.004035156249999998
5,-0.003312499999999999
6,-0.0028671875000000004
7,-0.003664062499999992
8,-0.0037832031249999936
9,-0.0029531249999999974
10,-0.0037363281249999953
11,-0.0038046874999999943
12,-0.0020000000000000013
13,-0.003218749999999998
14,-0.003904296874999997
15,-0.0034824218749999972
16,-0.003279296874999996
17,-0.003216796874999995
18,-0.0031933593750000005
19,-0.0030390625000000005
20,-0.0030234374999999975
21,-0.002935546874999999
22,-0.003037109374999997
23,-0.0028593749999999995
24,-0.0032207031249999974
25,-0.0030410156249999994
26,-0.0031406249999999967
27,-0.0029003906249999967
28,-0.003124999999999997
29,-0.003308593749999996
30,-0.003132812499999997
31,-0.003031249999999996
32,-0.003107421874999995
33,-0.0031562499999999954
34,-0.002292968749999998
35,-0.003035156249999998
36,-0.0031054687499999997
37,-0.0032675781249999957
38,-0.003085937499999996
39,-0.003874999999999996
40,-0.003142578124999995
41,-0.003078124999999996
42,-0.0031191406249999978
43,-0.0030703124999999954
44,-0.0033925781249999954
45,-0.002978515624999997
46,-0.0031464843749999987
47,-0.0006269531250000004
48,-0.0030488281249999956
49,-0.004648437499999989
50,-0.0035214843749999964
51,-0.0023125000000000003
52,-0.0016894531250000013
53,-0.0016621093750000013
54,-0.002572265624999997
55,-0.0016445312500000012
56,-0.0036289062499999976
57,-0.0019843750000000013
58,-0.0026230468749999934
59,-0.002406249999999998
60,-0.0017246093750000013
61,-0.0015839843750000012
62,-0.0025429687499999953
63,-0.001353515625000001
64,-0.0021757812499999993
65,-0.0017031250000000013
66,-0.001457031250000001
67,-0.0015078125000000011
68,-0.001316406250000001
69,-0.0015625000000000012
70,-0.002517578124999999
71,-0.0019375000000000015
72,-0.0016425781250000012
73,-0.0018945312500000015
74,-0.0022675781249999988
75,-0.0024374999999999965
76,-0.0016054687500000012
77,-0.0017988281250000014
78,-0.0017675781250000014
79,-0.001484375000000001
80,-0.0016191406250000012
81,-0.0019121093750000015
82,-0.0015527343750000012
83,-0.0015156250000000011
84,-0.0017578125000000013
85,-0.0015839843750000012
86,-0.001291015625000001
87,-0.0025937499999999962
88,-0.0019082031250000015
89,-0.0027148437499999955
90,-0.0018378906250000014
91,-0.0015449218750000012
92,-0.002705078124999996
93,-0.0017382812500000013
94,-0.0026718749999999924
95,-0.0016992187500000013
96,-0.0016250000000000012
97,-0.0018886718750000015
98,-0.0017011718750000013
99,-0.0018691406250000014
100,-0.0018476562500000014
