Episode,Average Reward
1,-0.0029042968749999985
2,-0.0031484374999999993
3,-0.0030957031249999978
4,-0.0033261718749999997
5,-0.003337890624999997
6,-0.003421874999999996
7,-0.0030917968749999956
8,-0.0035429687499999997
9,-0.0039589843749999985
10,-0.002947265624999999
11,-0.003017578124999998
12,-0.004601562499999996
13,-0.0038437499999999995
14,-0.003148437499999998
15,-0.0028749999999999987
16,-0.003255859374999998
17,-0.0029765625000000005
18,-0.003466796874999999
19,-0.003150390625000002
20,-0.002953124999999999
21,-0.0032773437500000007
22,-0.0031757812500000015
23,-0.0032734375000000025
24,-0.003353515625000001
25,-0.0030644531250000003
26,-0.002945312500000002
27,-0.003107421875000001
28,-0.0028906250000000013
29,-0.0033984375000000017
30,-0.003423828125000003
31,-0.002878906250000002
32,-0.0033359375000000025
33,-0.0032890625000000025
34,-0.0029140625000000013
35,-0.002968750000000002
36,-0.0033593750000000026
37,-0.0028144531250000023
38,-0.00322070312499999
39,-0.0031621093749999913
40,-0.002972656249999998
41,-0.0029433593749999955
42,-0.0030410156249999942
43,-0.002908203124999999
44,-0.003220703124999996
45,-0.003113281249999994
46,-0.003005859374999997
47,-0.0029101562499999965
48,-0.004783203124999995
49,-0.003138671874999997
50,-0.0029003906249999976
51,-0.0028632812500000004
52,-0.002552734375000001
53,-0.0028886718749999997
54,-0.0029746093750000016
55,-0.004585937500000003
56,-0.003679687500000003
57,-0.003751953125000003
58,-0.0030859375000000014
59,-0.0033593750000000026
60,-0.004054687500000001
61,-0.0031328125000000023
62,-0.003679687500000002
63,-0.0031523437500000015
64,-0.002851562500000002
65,-0.002917968750000002
66,-0.0030761718750000016
67,-0.0029765625000000013
68,-0.0030546875000000014
69,-0.004771484375000004
70,-0.002882812500000002
71,-0.0032988281250000027
72,-0.0046308593750000035
73,-0.002908203124999997
74,-0.003945312500000002
75,-0.002820312500000002
76,-0.0035937500000000028
77,-0.004023437500000002
78,-0.004603515625000004
79,-0.003585937500000001
80,-0.0030312500000000023
81,-0.003466796875000002
82,-0.005054687500000003
83,-0.004119140624999999
84,-0.004078125000000001
85,-0.004701171874999999
86,-0.004371093750000003
87,-0.0028847656250000015
88,-0.0030722656249999873
89,-0.002203124999999998
90,-0.0023554687499999986
91,-0.002306640624999996
92,-0.002240234375
93,-0.0021933593749999987
94,-0.0023906249999999982
95,-0.0021406249999999993
96,-0.002337890624999998
97,-0.0020429687500000005
98,-0.0019824218750000015
99,-0.0020117187500000014
100,-0.0022167968749999996
101,-0.0020917968750000008
102,-0.002218749999999999
103,-0.0020566406250000007
104,-0.0020000000000000013
105,-0.0032343749999999972
106,-0.0027421874999999994
107,-0.0022753906250000005
108,-0.0022578124999999972
109,-0.002167968749999999
110,-0.001972656250000001
111,-0.002531249999999996
112,-0.0023320312499999995
113,-0.002216796875
114,-0.002355468749999998
115,-0.0024550781249999955
116,-0.002158203125
117,-0.0024902343749999933
118,-0.002539062499999995
119,-0.0023691406249999967
120,-0.0023242187499999964
121,-0.002351562499999997
122,-0.0023593749999999978
123,-0.002333984374999998
124,-0.002212890624999998
125,-0.0021757812499999993
126,-0.0021347656249999995
127,-0.0031992187499999916
128,-0.003292968749999994
129,-0.0023281249999999995
130,-0.0022109375
131,-0.002277343749999999
132,-0.0025078124999999983
133,-0.0030859374999999954
134,-0.0022636718749999983
135,-0.0038691406249999967
136,-0.0020292968750000016
137,-0.0021250000000000006
138,-0.0020468750000000005
139,-0.0023691406249999993
140,-0.0028164062499999986
141,-0.003828124999999995
142,-0.003687499999999996
143,-0.0021640625000000015
144,-0.0022363281249999996
145,-0.002234374999999998
146,-0.0028281249999999934
147,-0.0027324218749999927
148,-0.00212890625
149,-0.0023027343749999975
150,-0.002164062499999999
151,-0.0020761718750000003
152,-0.0021679687499999998
153,-0.002062500000000001
154,-0.002119140625
155,-0.0022519531249999983
156,-0.002615234374999997
157,-0.002509765624999996
158,-0.0022460937499999985
159,-0.0023769531249999976
160,-0.0021855468749999996
161,-0.002185546875
162,-0.002468749999999996
163,-0.0023203124999999995
164,-0.0019570312500000013
165,-0.0022382812500000003
166,-0.0024140624999999965
167,-0.0021054687500000014
168,-0.002210937499999999
169,-0.0019882812500000013
170,-0.0019257812500000015
171,-0.0020273437500000014
172,-0.002111328125000001
173,-0.0019902343750000016
174,-0.002374999999999999
175,-0.0019980468750000007
176,-0.002107421875000001
177,-0.004494140624999999
178,-0.0019550781250000015
179,-0.002437500000000001
180,-0.0019902343750000016
181,-0.0030839843750000017
182,-0.002187499999999999
183,-0.0023925781249999963
184,-0.0021796875
185,-0.0023300781249999975
186,-0.0023320312499999964
187,-0.002427734374999995
188,-0.0021445312499999993
189,-0.0021289062500000015
190,-0.002074218750000001
191,-0.002566406249999997
192,-0.0020957031250000003
193,-0.0019980468750000007
194,-0.0022460937500000016
195,-0.002123046875000001
196,-0.002808593750000002
197,-0.0020136718750000016
198,-0.0021523437500000006
199,-0.0020722656250000003
200,-0.0019531250000000013
