Episode,Average Reward
1,-0.00538671874999998
2,-0.00653124999999999
3,-0.0047812500000000025
4,-0.006023437499999973
5,-0.0069257812499999806
6,-0.0058203125000000034
7,-0.0073554687500000035
8,-0.00552343749999999
9,-0.006675781249999971
10,-0.0052324218749999945
11,-0.005894531250000003
12,-0.004708984374999992
13,-0.0035703124999999997
14,-0.006339843749999968
15,-0.002749999999999997
16,-0.0030175781250000007
17,-0.002064453125000001
18,-0.004378906249999998
19,-0.0037441406249999944
20,-0.0052421875
21,-0.0035390624999999936
22,-0.0030859374999999984
23,-0.004183593749999993
24,-0.004958984374999998
25,-0.002339843750000001
26,-0.003218749999999999
27,-0.003041015624999997
28,-0.0034531249999999987
29,-0.0018671875000000014
30,-0.0036933593749999974
31,-0.003220703124999995
32,-0.003365234374999997
33,-0.003123046874999995
34,-0.0031933593749999965
35,-0.003109374999999996
36,-0.0032226562499999994
37,-0.002867187499999994
38,-0.003990234374999995
39,-0.0030937499999999945
40,-0.0016953125000000013
41,-0.0009042968750000007
42,-0.0022968749999999977
43,-0.0017656250000000014
44,-0.003218749999999997
45,-0.0029941406249999946
46,-0.003056640624999995
47,-0.0015019531250000011
48,-0.0014921875000000011
49,-0.0037382812499999938
50,-0.003308593749999995
51,-0.0034492187499999957
52,-0.0031308593749999974
53,-0.001429687500000001
54,-0.001964843750000001
55,-0.002269531249999999
56,-0.0017988281250000014
57,-0.002628906249999995
58,-0.001371093750000001
59,-0.0011191406250000008
60,-0.0009726562500000008
61,-0.0008632812500000005
62,-0.0036035156249999917
63,-0.0010175781250000007
64,-0.0026562499999999937
65,-0.0016542968750000013
66,-0.0010000000000000007
67,-0.0008671875000000006
68,-0.0008964843750000007
69,-0.0008769531250000007
70,-0.0017890625000000014
71,-0.0021230468749999973
72,-0.001330078125000001
73,-0.0008281250000000006
74,-0.0018574218750000014
75,-0.0010996093750000008
76,-0.0015585937500000012
77,-0.0009882812500000007
78,-0.0012324218750000009
79,-0.0009726562500000008
80,-0.0011347656250000008
81,-0.001433593750000001
82,-0.001248046875000001
83,-0.0009062500000000007
84,-0.0008769531250000006
85,-0.0010000000000000007
86,-0.0010253906250000007
87,-0.0018339843750000014
88,-0.0019765624999999987
89,-0.001337890625000001
90,-0.0005839843750000004
91,-0.0010546875000000007
92,-0.0008085937500000006
93,-0.0010273437500000007
94,-0.0008476562500000006
95,-0.0005253906250000004
96,-0.0009179687500000007
97,-0.001250000000000001
98,-0.002261718749999996
99,-0.0006074218750000004
100,-0.0009316406250000006
