Episode,Average Reward
1,-0.00459375
2,-0.004617187499999985
3,-0.004886718750000001
4,-0.004546874999999992
5,-0.003726562500000002
6,-0.003964843749999998
7,-0.003839843750000002
8,-0.005125
9,-0.004324218749999992
10,-0.004031249999999997
11,-0.00341796875
12,-0.0029257812500000004
13,-0.003949218750000002
14,-0.005296874999999999
15,-0.007304687499999967
16,-0.0018320312500000014
17,-0.004863281249999982
18,-0.0030234375000000014
19,-0.002703125000000001
20,-0.0053828124999999805
21,-0.003742187500000001
22,-0.00322265625
23,-0.003750000000000002
24,-0.005359374999999981
25,-0.005042968749999985
26,-0.0030585937500000014
27,-0.002937500000000002
28,-0.0043476562500000026
29,-0.003757812500000001
30,-0.003718750000000002
31,-0.003742187500000001
32,-0.0015976562500000012
33,-0.004437500000000003
34,-0.003468749999999999
35,-0.0042148437499999955
36,-0.0036328125
37,-0.0021562500000000006
38,-0.005093749999999999
39,-0.00475390625
40,-0.004355468750000001
41,-0.004082031249999998
42,-0.0027617187499999994
43,-0.003492187500000001
44,-0.003871093750000002
45,-0.0016289062500000012
46,-0.003726562500000001
47,-0.003558593750000001
48,-0.00253515625
49,-0.0031250000000000006
50,-0.002406249999999999
51,-0.0021250000000000015
52,-0.0029843749999999974
53,-0.002187500000000001
54,-0.003433593750000001
55,-0.0044960937499999905
56,-0.0020234375000000014
57,-0.001312500000000001
58,-0.003578125000000002
59,-0.0023125
60,-0.001480468750000001
61,-0.002539062500000001
62,-0.0019570312500000013
63,-0.0018750000000000014
64,-0.0005351562500000004
65,-0.0038281250000000012
66,-0.0024374999999999983
67,-0.003042968750000001
68,-0.001976562500000001
69,-0.0032695312500000007
70,-0.0023359375000000008
71,-0.001363281250000001
72,-0.0011562500000000008
73,-0.0008417968750000006
74,-0.0009570312500000007
75,-0.0011914062500000008
76,-0.001250000000000001
77,-0.0027578124999999972
78,-0.0006914062500000004
79,-0.0015078125000000011
80,-0.0020937500000000014
81,-0.0025781249999999993
82,-0.0010820312500000007
83,-0.0025937500000000006
84,-0.0004765625000000003
85,-0.0007343750000000005
86,-0.001275390625000001
87,-0.0011484375000000008
88,-0.0011250000000000008
89,-0.0015175781250000011
90,-0.0007812500000000006
91,-0.001296875000000001
92,-0.0010410156250000007
93,-0.0007148437500000005
94,-0.0010410156250000007
95,-0.001460937500000001
96,-0.0006289062500000005
97,-0.0010156250000000007
98,-0.0010390625000000007
99,-0.0009921875000000007
100,-0.00025390625000000017
